state,district,year,iso_week,tmax_mean,tmin_mean,precip_sum,rain_days,dry_days,wind_max_mean,wind_calm_days,et0_sum,n_days
Haryana,Faridabad,2012,40,33.128571428571426,19.785714285714285,0.0,0,7,11.071428571428571,1,33.230000000000004,7
Haryana,Faridabad,2012,41,32.42857142857143,19.057142857142857,0.0,0,7,11.657142857142857,1,32.2,7
Haryana,Faridabad,2012,42,31.042857142857144,18.185714285714287,2.4,1,6,8.8,6,27.87,7
Haryana,Faridabad,2012,43,28.24285714285714,15.799999999999999,11.0,1,6,11.4,4,26.82,7
Haryana,Faridabad,2012,44,28.414285714285715,15.528571428571428,0.0,0,7,9.0,5,25.15,7
Haryana,Faridabad,2012,45,27.900000000000002,14.485714285714286,0.2,0,6,10.1,3,23.53,7
Haryana,Faridabad,2012,46,26.557142857142857,13.471428571428572,0.0,0,7,10.257142857142856,4,22.58,7
Haryana,Faridabad,2012,47,25.557142857142857,11.585714285714285,0.0,0,7,10.942857142857141,3,22.81,7
Haryana,Faridabad,2012,48,24.3,11.34,0.7,0,4,11.64,1,15.52,5
Haryana,Faridabad,2013,35,32.7,25.7,0.1,0,1,14.7,0,4.47,1
Haryana,Faridabad,2013,36,33.357142857142854,25.571428571428573,0.1,0,7,15.842857142857143,0,38.6,7
Haryana,Faridabad,2013,37,33.5,24.75714285714286,3.7,1,2,7.957142857142857,7,32.1,7
Haryana,Faridabad,2013,38,32.128571428571426,23.757142857142856,44.1,4,3,13.528571428571428,1,27.79,7
Haryana,Faridabad,2013,39,31.5,24.74285714285714,27.599999999999998,6,0,11.085714285714285,3,24.38,7
Haryana,Faridabad,2013,40,29.571428571428573,23.214285714285715,11.8,3,1,14.400000000000002,1,22.62,7
Haryana,Faridabad,2013,41,30.085714285714285,22.7,4.8,2,4,10.828571428571427,3,23.23,7
Haryana,Faridabad,2013,42,31.271428571428572,20.785714285714285,0.2,0,6,9.642857142857142,5,27.65,7
Haryana,Faridabad,2013,43,29.82857142857143,18.228571428571428,0.0,0,7,9.828571428571427,5,26.990000000000002,7
Haryana,Faridabad,2013,44,29.642857142857142,17.014285714285712,0.0,0,7,12.242857142857144,1,27.97,7
Haryana,Faridabad,2013,45,25.985714285714288,14.200000000000001,1.5999999999999999,1,5,10.857142857142858,3,22.53,7
Haryana,Faridabad,2013,46,25.042857142857144,11.442857142857141,0.0,0,7,10.528571428571428,3,23.88,7
Haryana,Faridabad,2013,47,26.085714285714285,11.714285714285714,0.0,0,7,11.614285714285714,2,23.49,7
Haryana,Faridabad,2013,48,26.95,13.75,0.0,0,6,15.65,0,22.1,6
Haryana,Faridabad,2014,36,30.8,25.12857142857143,68.2,6,0,18.985714285714288,2,23.57,7
Haryana,Faridabad,2014,37,31.685714285714287,24.642857142857142,20.2,4,0,10.87142857142857,3,25.8,7
Haryana,Faridabad,2014,38,34.0,24.657142857142855,0.2,0,6,12.271428571428572,0,34.28,7
