state,district,year,iso_week,dm_kg,dm_tonnes
Haryana,Gurgaon,2015,43,2829.156325426877,2.8291563254268772
Haryana,Gurgaon,2015,44,2.2638612317273573e-19,2.2638612317273574e-22
Haryana,Gurgaon,2015,45,0.0,0.0
Haryana,Gurgaon,2015,46,0.0,0.0
Haryana,Gurgaon,2015,47,0.0,0.0
Haryana,Gurgaon,2015,48,0.0,0.0
Haryana,Gurgaon,2015,49,0.0,0.0
Haryana,Gurgaon,2016,39,0.0,0.0
Haryana,Gurgaon,2016,40,0.0,0.0
Haryana,Gurgaon,2016,41,8.213143858319685e-32,8.213143858319685e-35
Haryana,Gurgaon,2016,42,0.5734163379063342,0.0005734163379063342
Haryana,Gurgaon,2016,43,1122.4635567583184,1.1224635567583183
Haryana,Gurgaon,2016,44,3.2919002297116285e-06,3.2919002297116285e-09
Haryana,Gurgaon,2016,45,0.0,0.0
Haryana,Gurgaon,2016,46,2.8294706430377692e-24,2.8294706430377693e-27
Haryana,Gurgaon,2016,47,185.86468012315066,0.18586468012315066
Haryana,Gurgaon,2016,48,2986.45491585334,2.98645491585334
Haryana,Gurgaon,2017,39,0.5075670374854329,0.0005075670374854328
Haryana,Gurgaon,2017,40,6.550085876100059,0.0065500858761000594
Haryana,Gurgaon,2017,41,4.532889082616804,0.004532889082616804
Haryana,Gurgaon,2017,42,4.773616437689573,0.0047736164376895734
Haryana,Gurgaon,2017,43,22465.103123771132,22.465103123771133
Haryana,Gurgaon,2017,44,7862.019887258937,7.8620198872589375
Haryana,Gurgaon,2017,45,24.336869290577877,0.024336869290577875
Haryana,Gurgaon,2017,46,161.61099859320325,0.16161099859320324
Haryana,Gurgaon,2017,47,691.7021540477622,0.6917021540477621
Haryana,Gurgaon,2017,48,545.7260379747596,0.5457260379747596
Haryana,Gurgaon,2018,40,1.4515459996297534e-22,1.4515459996297535e-25
Haryana,Gurgaon,2018,41,13617.850602465742,13.617850602465742
Haryana,Gurgaon,2018,42,340852.5624807254,340.8525624807254
Haryana,Gurgaon,2018,43,1.1847364187922068e-07,1.1847364187922067e-10
Haryana,Gurgaon,2018,44,0.0,0.0
Haryana,Gurgaon,2018,45,0.0,0.0
Haryana,Gurgaon,2018,46,0.0,0.0
Haryana,Gurgaon,2018,47,0.0,0.0
Haryana,Gurgaon,2018,48,0.0,0.0
Haryana,Hisar,2012,40,75983.57349019869,75.9835734901987
Haryana,Hisar,2012,41,369887.02124102204,369.88702124102207
Haryana,Hisar,2012,42,1379040.8593083709,1379.040859308371
Haryana,Hisar,2012,43,2328209.9923816784,2328.2099923816786
Haryana,Hisar,2012,44,3954496.9187257905,3954.4969187257902
Haryana,Hisar,2012,45,2193267.785396464,2193.267785396464
Haryana,Hisar,2012,46,1357711.8485528023,1357.7118485528024
Haryana,Hisar,2012,47,335478.9589653152,335.4789589653152
Haryana,Hisar,2012,48,72997.76770803481,72.99776770803481
Haryana,Hisar,2013,40,123784.01408014155,123.78401408014156
Haryana,Hisar,2013,41,531053.5954699964,531.0535954699965
Haryana,Hisar,2013,42,1784264.7043489972,1784.2647043489972
Haryana,Hisar,2013,43,3881048.7950559477,3881.0487950559477
Haryana,Hisar,2013,44,12569145.863724414,12569.145863724414
Haryana,Hisar,2013,45,8983366.554833826,8983.366554833825
Haryana,Hisar,2013,46,4074762.008494502,4074.762008494502
Haryana,Hisar,2013,47,1105390.8724105428,1105.390872410543
Haryana,Hisar,2013,48,386620.9092437353,386.6209092437353
Haryana,Hisar,2014,40,16771.208706487967,16.77120870648797
Haryana,Hisar,2014,41,73381.42576400368,73.38142576400368
Haryana,Hisar,2014,42,152158.79259650456,152.15879259650455
Haryana,Hisar,2014,43,1218328.014384664,1218.328014384664
Haryana,Hisar,2014,44,2554215.0368079143,2554.215036807914
Haryana,Hisar,2014,45,3594237.1235615923,3594.2371235615924
